title,creators,abstractNote,publicationTitle,date,language,url,libraryCatalog,tags
地理知识图谱下的建筑群空间分布模式推理,唐曾杨,以图结构表达的知识图谱不仅在语义网络的描述与推理中发挥着重要作用，对于空间实体的结构化抽象与空间推理也具有重要意义。空间实体的联系信息在知识图谱中以图的边记录，通过路径探测、子图对齐、模式发现等基于边的知识图谱计算推理，在空间场景认知可发挥重要作用。地理知识图谱是一种对地理概念、实体及其相互关系进行形式化描述的知识系统，既有通用知识的内涵与特点，也有地理知识特定的时空特征，能够将语义模型和时空模型联系起来，描述语义关系、空间关系和时间关系，在地理知识的表达、理解、获取与推理方面有巨大的应用潜力。现有地理知识图谱的研究工作多集中于语义方面，语义关系的抽取与表达比较丰富，可以支持进一步的地理知识语义搜索等功能；然而地理知识图谱在时空模型上的知识表达比较缺乏，现有的空间关系局限在要素之间，很少涉及空间认知中进一步的分布态势、空间格局等，地理知识图谱在空间语义知识方面有待增强。本文基于知识图谱构建原理，以建筑群地理知识图谱构建为例，实现格网型建筑物模式的识别。先将建筑物抽象成实体，表达为图的节点，基于几何邻近分析提取建筑物之间的空间邻域关系，以此构建建筑群地理知识图谱；在此基础上结合建筑物模式识别的领域知识，进一步推理构建其他的空间语义关系，完善地理知识图谱；再将建筑群场景的格网模式表达为知识图谱的规则，在知识图谱上基于NoSQL语言进行推理。结果表明，本文方法能有效提取建筑物格网模式，验证了地理知识图谱在空间推理上的作用和在领域问题研究中的良好适应性，为地理知识图谱在空间认知领域的应用提供了思路。,地球信息科学学报,2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50lqbdNo8z0wC2CMNOSuvHmHLVNnW2rbj7WrmcNNMwN0lMx5P0x-rTEa&uniplatform=NZKPT,CNKI,"['building cluster pattern recognition', 'geographic entity', 'geographic knowledge', 'grid-pattern', 'spatial cognition', 'spatial reasoning', 'spatial relationship', '地理实体', '地理知识', '建筑群模式识别', '格网模式', '知识图谱', '空间关系', '空间推理', '空间认知 knowledge graph']"
学业预警知识图谱的构建与应用,闫瑾,针对学业预警体系中“事前事中预防”措施不足、过程化与可视化较低的问题，进行了学业预警知识图谱的构建与应用。首先，通过protégé完成模式层的构建，对知识的数据结构(包含实体、关系、属性)进行了设计，采用了树状结构，使每个子类继承其祖先节点的属性；其次，以事实三元组为单位，存储具体的信息；然后，通过关系型数据库实现数据与本体的映射，对关系型数据库的结构化数据进行知识抽取，通过D2RQ工具将结构化数据转化为三元组数据，存储在SQL中；最后，使用Neo4j图数据库可视化展示，完成学业预警知识图谱的构建。公开数据集实验测试结果表明，所构建的学业预警知识图谱能够对学生学业进行预警，对实体及属性进行校验标注，经过采样标注后得到准确率为94.23%，且时效性良好，系统平均在9 ms后开始传输，并在25 ms后完成，同时在过程化与可视化方面有较大提升，可以实现“事前事中预防”。,中北大学学报(自然科学版),2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50kyKUrPKilczQCToTb0b8hR90UZ_coCnRG5-mFTh0KJYq5nsDzG2GIu&uniplatform=NZKPT,CNKI,"['Neo4j', 'Neo4j cademic early warning', 'data layer', 'knowledge graph', 'model layer', '学业预警', '数据层', '模式层', '知识图谱']"
基于知识图谱理念的生物医学电子学在线课程建设初步探索,涂华婷,为满足疫情期间在线教育需求，基于知识图谱理念，从知识、问题、能力3个维度完善课程知识网络结构，初步探索生物医学电子学在线课程建设新模式，旨在重构教学资源、完善人才培养方案，实现开放、个性、精准的智慧教育体系创新。,卫生职业教育,2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50loVFp_9WcsUA-WIO5VPFBwqL4Z0qvbQZmVs1z40ce6xS5VghuFE8SX&uniplatform=NZKPT,CNKI,"['Biomedical electronics', 'Online course', '在线课程 Knowledge graph', '生物医学电子学', '知识图谱']"
《人工智能应用导论》知识图谱构建与应用研究,张军,随着人工智能技术引发新一轮科技革命和社会进步，高职《人工智能应用导论》课程在众多院校相继开设，对其开展知识图谱的构建应用研究逐渐兴起，然而知识图谱的构建需要领域专家共同探讨、手工构建，十分严谨而繁琐，人工智能知识更新又较为快速，目前高职《人工智能应用导论》知识图谱的构建较为缺乏。本文借助机器学习和自然语言处理技术分别对《人工智能应用导论》课程文本资源进行实体识别和关系抽取，接着进行知识融合，最后基于Neo4j图数据库可视化展示并进行知识点推理。实验结果表明：构造后的课程知识图谱涵盖了《人工智能应用导论》课程所有知识点及其关系属性，助力开展知识点学习推理和学习路径推荐研究。,网络安全技术与应用,2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50ntGgPOL7QfrrIhj5ge6CBH4g2IsyPB8asXh8xKI3kodiPsmDcTH8Zw&uniplatform=NZKPT,CNKI,"['人工智能应用导论课程', '应用研究', '推理实验', '知识图谱']"
基于知识图谱的海洋数值预报数据推荐算法,李忠伟,为解决海洋数值预报研究人员面对复杂多样的研究任务时难以及时准确地从种类繁多的海洋数值预报数据中找到所需数据的问题，提出基于知识图谱的海洋数值预报数据推荐算法。利用海洋数值预报文献提取研究任务及海洋数值预报数据构建知识图谱，基于知识图谱计算海洋数值预报数据实体之间的相似度，同时融合在研究人员用户行为下海洋数值预报数据的相似度，进行排序选取相似度较高的海洋数值预报数据进行推荐。实验结果表明，推荐精确率及召回率分别为67.14%、62.49%。,计算机工程与设计,2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50nW0ftToGaH65dirvJKW0nseKn702sm2gcw_U7v3Bi-WOR-4T8vghXQ&uniplatform=NZKPT,CNKI,"['data recommendation', 'knowledge graph', 'marine numerical forecasting literature', 'research task', 'similarity', 'user behavior', '数据推荐 marine numerical forecast', '海洋数值预报', '海洋数值预报文献', '用户行为', '相似度', '知识图谱', '研究任务']"
时态知识图谱的推理研究综述,沈英汉,随着社交网络、物端感知等技术快速发展，网络空间中涌现了大量的交互、话题、事件、新闻等数据，蕴含大量动态演化、强时效性的知识.较于忽略知识中时间信息的传统知识图谱，时态知识图谱通过建模知识的时效性以描述动态变化的现实世界，为时间紧耦合的应用提供有效支持.然而，时态知识图谱无法确保涵盖全量知识，知识的缺失严重影响应用性能，需要推理模型自动挖掘新的知识，以解释事物的历史状态，预测未来发展趋势并描述演化规律.由于实际应用的迫切需要，近年来，时态知识图谱的推理研究工作层出不穷，逐渐引起学术界和工业界的广泛关注.本文对近年来时态知识图谱的推理工作进行全面介绍和总结.首先，介绍了时态知识图谱的推理相关概念与问题描述;其次，介绍了面向补全任务的推理模型与面向预测任务的推理模型，对其进行比较分析;之后总结了时态知识图谱推理的数据集、推理任务、相关指标以及应用场景;最后展望时态知识图谱推理的未来研究趋势.综上，本文致力于为时态知识图谱的推理领域研究人员提供具有价值的参考，以推动该领域进一步发展.,计算机学报,2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50n2_FC1ezrNgNLgIgJzEpc4dzL6iDCe0g5IUw98rlIO1hnPzttTlaiP&uniplatform=NZKPT,CNKI,"['knowledge completion', 'knowledge graph', 'knowledge prediction', 'temporal knowledge reasoning', '时态知识图谱', '时态知识推理', '知识图谱 temporal knowledge graph', '知识补全', '知识预测']"
《山海经》知识图谱构建与应用研究,朱良兵,[目的/意义]知识图谱作为数智时代一种先进的知识组织方式，能够为数字人文研究提供良好的技术支持，去洞察那些以往在文本资源中看不见的隐含联系和知识结构。[方法/过程]《山海经》是中国上古三大奇书，具有非常高的研究价值。本文引入主题图和Neo4j等技术和工具，在分析《山海经》中的主题类型、关联关系、属性信息的基础上，提出了构建《山海经》知识图谱的技术架构、数据模型、实施步骤。[结果/结论]将多源异构数据进行集成，完成了《山海经》知识图谱的构建和展示，对于将知识图谱技术应用于数字人文研究领域做了有益的探索。,情报探索,2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50niO_CdaBNPNX-0uaDVZU7N5AAnulcHnorXGWxEt2gB0eRbKuKlYbR5&uniplatform=NZKPT,CNKI,"['association', 'digital humantiy', 'knowledge graph', 'semantic', 'topic map', '主题图', '关联', '山海经', '数字人文', '知识图谱', '语义 The Classic of Mountains and Seas']"
高校IT运维知识图谱构建及应用,李建青,针对高校IT运维中出现的效率低下和服务不佳问题，文章研究设计了基于知识图谱的IT运维总体架构。通过分析运维对象、运维服务流程、运维数据、采集分析处理、运维管理等模块，构建了IT运维问答知识图谱，实现了运维场景和孤立知识点的业务应用关联，基于Neo4j和Python技术开发了IT运维问答系统，解决了运维效率低下和服务质量不佳的问题。,现代信息科技,2023,中文;,https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50l8yRr-dwAdi5vhgvFP3RlDDHgKkYlPZYTXibJWzFBHw1euGu1vuenZ&uniplatform=NZKPT,CNKI,"['IT operation and maintenance', 'IT运维', 'Q&A system', '知识图谱', '问答系统 knowledge graph']"
